model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,iou,iou_0.5,iou_0.7,time,noise_type,cmi_max_iou,fa_min_iou
yolo11x,000000001532,2,1/255,0.25,0.45,odpv,0.705998420715332,0.705998420715332,0.705998420715332,130.3432004749775,poisson,0.08586311340332031,0.0
yolo11x,000000001532,2,1/255,0.25,0.45,odpv,0.7636868953704834,0.7636868953704834,0.7636868953704834,125.61556649208069,poisson_gaussian,0.013050079345703125,0.00029277801513671875
yolo11x,000000001532,2,1/255,0.25,0.45,odpv,0.7905758023262024,0.7905758023262024,0.7905758023262024,124.56368604302406,salt_and_pepper,0.012570381164550781,0.7424812316894531
yolo11x,000000001532,2,1/255,0.25,0.45,odpv,0.7884708642959595,0.7884708642959595,0.7884708642959595,124.70888009667397,uniform,0.012570381164550781,0.002227783203125
yolo11x,000000001532,2,1/255,0.25,0.45,rcp,0.8596839162774436,0.8596839162774436,0.8596839162774436,699.3957375586033,laplace,0.8801158564753678,0.8036179217698826
yolo11x,000000001532,2,1/255,0.25,0.45,rcp,0.868521637520804,0.868521637520804,0.868521637520804,687.2787410318851,normal,0.8714828270699434,0.8164466286668505
yolo11x,000000001532,2,1/255,0.25,0.45,rcp,0.8614378783321688,0.8614378783321688,0.8614378783321688,919.8787970542908,poisson,0.8872060435986215,0.8077281324232936
yolo11x,000000001532,2,1/255,0.25,0.45,rcp,0.858326090711523,0.858326090711523,0.858326090711523,1242.2076501250267,poisson_gaussian,0.8825231908869179,0.7996976430530853
yolo11x,000000001532,2,1/255,0.25,0.45,rcp,0.8693185343343933,0.8693185343343933,0.8693185343343933,639.0116869807243,salt_and_pepper,0.8560745395042818,0.8181072736965197
yolo11x,000000001532,2,1/255,0.25,0.45,rcp,0.869114575801423,0.869114575801423,0.869114575801423,470.7892743051052,uniform,0.8721248408929353,0.8085108326306327
yolo11x,000000001532,2,2/255,0.25,0.45,odpv,0.6337578892707825,0.6337578892707825,0.0,240.05970379710197,laplace,1.0,0.0
yolo11x,000000001532,2,2/255,0.25,0.45,odpv,0.7884708642959595,0.7884708642959595,0.7884708642959595,124.30351084470749,normal,0.012570381164550781,0.002227783203125
yolo11x,000000001532,2,2/255,0.25,0.45,odpv,0.7884708642959595,0.7884708642959595,0.7884708642959595,122.37179878354073,salt_and_pepper,0.012570381164550781,0.002227783203125
yolo11x,000000001532,2,2/255,0.25,0.45,odpv,0.7421562671661377,0.7421562671661377,0.7421562671661377,126.97784063220024,uniform,0.015228271484375,0.0
yolo11x,000000001532,2,2/255,0.25,0.45,rcp,0.8410512487169776,0.8410512487169776,0.8410512487169776,688.410800755024,laplace,0.9072605166646989,0.005720536686518132
