model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,target_method,iou_0.5,iou_0.7,iou,time,iou_0.5_target,iou_0.7_target,iou_target,delta_0.5,delta_0.7,delta,TP_0.5,TP_0.7,FP_0.5,FP_0.7,FN_0.5,FN_0.7,TN_0.5,TN_0.7
yolo11x,7088,1,1/255,0.25,0.25,odpv,pgd,0.0,0.0,0.0,299.30053794384,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,1,1/255,0.25,0.25,odpv,square_attack,0.0,0.0,0.0,299.30053794384,0.8455198407173157,0.8455198407173157,0.8455198407173157,0.8455198407173157,0.8455198407173157,0.8455198407173157,False,False,False,False,True,True,False,False
yolo11x,7088,1,1/255,0.25,0.25,odpv,rcp,0.0,0.0,0.0,299.30053794384,0.857201367992007,0.857201367992007,0.857201367992007,0.857201367992007,0.857201367992007,0.857201367992007,False,False,False,False,True,True,False,False
yolo11x,7088,1,1/255,0.25,0.45,rcp,pgd,0.8568829363637678,0.8568829363637678,0.8568829363637678,1256.921620905399,0.0,0.0,0.0,0.8568829363637678,0.8568829363637678,0.8568829363637678,False,False,True,True,False,False,False,False
yolo11x,7088,1,1/255,0.25,0.45,rcp,square_attack,0.8568829363637678,0.8568829363637678,0.8568829363637678,1256.921620905399,0.8455198407173157,0.8455198407173157,0.8455198407173157,0.011363095646452104,0.011363095646452104,0.011363095646452104,True,True,False,False,False,False,False,False
yolo11x,7088,1,1/255,0.25,0.45,rcp,rcp,0.8568829363637678,0.8568829363637678,0.8568829363637678,1256.921620905399,0.8568829363637678,0.8568829363637678,0.8568829363637678,0.0,0.0,0.0,True,True,False,False,False,False,False,False
yolo11x,7088,1,1/255,0.25,0.45,odpv,pgd,0.0,0.0,0.0,235.93153578042984,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,1,1/255,0.25,0.45,odpv,square_attack,0.0,0.0,0.0,235.93153578042984,0.8455198407173157,0.8455198407173157,0.8455198407173157,0.8455198407173157,0.8455198407173157,0.8455198407173157,False,False,False,False,True,True,False,False
yolo11x,7088,1,1/255,0.25,0.45,odpv,rcp,0.0,0.0,0.0,235.93153578042984,0.8568829363637678,0.8568829363637678,0.8568829363637678,0.8568829363637678,0.8568829363637678,0.8568829363637678,False,False,False,False,True,True,False,False
yolo11x,7088,1,1/255,0.25,0.65,rcp,pgd,0.8572189657371775,0.8572189657371775,0.8572189657371775,1257.3437525629995,0.0,0.0,0.0,0.8572189657371775,0.8572189657371775,0.8572189657371775,False,False,True,True,False,False,False,False
yolo11x,7088,1,1/255,0.25,0.65,rcp,square_attack,0.8572189657371775,0.8572189657371775,0.8572189657371775,1257.3437525629995,0.8455198407173157,0.8455198407173157,0.8455198407173157,0.011699125019861811,0.011699125019861811,0.011699125019861811,True,True,False,False,False,False,False,False
yolo11x,7088,1,1/255,0.25,0.65,rcp,rcp,0.8572189657371775,0.8572189657371775,0.8572189657371775,1257.3437525629995,0.8572189657371775,0.8572189657371775,0.8572189657371775,0.0,0.0,0.0,True,True,False,False,False,False,False,False
